Title,Salary,Location,Employment Type
Копірайтер (англійська мова),EvoPlay,Київ,Повна зайнятість
Складальник,23 000 – 25 000 грн,Київ,Повна зайнятість
"Технік, майстер, інженер з обслуговування та ремонту платіжних терміналів",20 000 – 25 000 грн,Київ,Повна зайнятість
Бариста,13 500 – 17 000 грн,Житомир,Повна зайнятість
Комірник-пакувальник (Троєщина),22 440 – 30 000 грн,Київ,Повна зайнятість
Golang developer,160 000 – 220 000 грн,Дистанційно,Повна зайнятість
Product Development Engineer,Renesas Electronics,Львів,"Повна зайнятість, неповна зайнятість"
Комірник на склад,22 400 – 40 000 грн,Київ,Повна зайнятість
Сервісний інженер систем вентиляції та кондиціонування ЦОД,De Novo,Київ,Повна зайнятість
Account manager (English language),SoftSvit,Дистанційно,Повна зайнятість
Менеджер з продажів (B2B),30 000 – 70 000 грн,Київ,Повна зайнятість
Спеціаліст технічної підтримки (Linux),7 000 – 19 500 грн,Вінниця,Повна зайнятість
Бухгалтер,"Юровська О.Г., ФОП",Київ,Повна зайнятість
Head of Antifraud,EvoPlay,Київ,Повна зайнятість
Customer support specialist,SKELAR,Дистанційно,"Повна зайнятість, неповна зайнятість"
Монтажник GPS-систем,25 000 – 35 000 грн,Тернопіль,Повна зайнятість
Системний адміністратор хмарної інфраструктури,75 000 грн,Київ,Повна зайнятість
Бізнес-аналітик інформаційних систем,45 000 – 65 000 грн,Київ,"Повна зайнятість, неповна зайнятість"
Репетитор з англійської мови (підготовка до IELTS та TOEFL),15 000 – 30 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Trainee, Junior Front-End Developer (React)",Інсайдери,Львів,Повна зайнятість
"Trainee, Junior, Middle Back-End Developer (Node.js)",Інсайдери,Львів,Повна зайнятість
"Trainee, Junior Front-End Developer (React)",Інсайдери,Львів,Повна зайнятість
Юрист,Maya B LLC,Дистанційно,Повна зайнятість
Бухгалтер,22 000 грн,Полтава,Повна зайнятість
Консультант Microsoft Dynamics 365 CRM (стажер),Progresia,Дистанційно,Неповна зайнятість
"Financial Analyst (Kiss My Apps, Netpeak Group)",Netpeak Group,Дистанційно,Повна зайнятість
Системний адміністратор,15 000 грн,Вінниця,Повна зайнятість
Акаунт-менеджер,30 000 – 50 000 грн,Дистанційно,Повна зайнятість
Business analyst,Укренерго цифрові рішення,Дистанційно,Повна зайнятість
Senior Sales Manager (Enterprise),CRMiUM,Дистанційно,Повна зайнятість
Складальник РЕА,Infozahyst,Київ,Повна зайнятість
Рекрутер,35 000 грн,Львів,Повна зайнятість
Відеокреатор,7 000 – 10 000 грн,Житомир,"Повна зайнятість, неповна зайнятість"
Комплектувальник складу готових деталей на виробництво,20 000 – 23 000 грн,Київ,Повна зайнятість
Оператор по роботі з гуртовими продажами,15 000 – 19 600 грн,Дистанційно,Повна зайнятість
Інженер-розробник,Bitmedia Labs,Дистанційно,Неповна зайнятість
Спеціаліст з впровадження медичної системи,26 000 – 36 000 грн,Дистанційно,Повна зайнятість
Молодший бізнес-аналітик,De Novo,Київ,Повна зайнятість
Комірник на склад (р-н Другої застави),19 000 – 21 000 грн,Одеса,Повна зайнятість
Creative marketing manager,40 000 – 50 000 грн,Київ,Повна зайнятість
"Оператор ЧПК (фрезерний верстат, з навчанням)",35 000 – 80 000 грн,Київ,Повна зайнятість
HR Generalist,Prometheus,Дистанційно,Повна зайнятість
Інженер моніторингу мереж (Security Operation Center),ІТ-Інтегратор,Київ,Повна зайнятість
Спеціаліст роботи з клієнтами (німецька),EvoPlay,Київ,Повна зайнятість
Водій-експедитор з власним вантажним авто (бус),35 000 – 45 000 грн,Київ,Повна зайнятість
Business development manager (системна інтеграція),IT-Solutions,Київ,Повна зайнятість
PR Manager,Megogo,Київ,Повна зайнятість
CEO Netpeak Group Event Agency,Netpeak Group,Київ,Повна зайнятість
Strategic Analyst,Uklon,Київ,Повна зайнятість
"PR-менеджер, журналіст",30 000 – 45 000 грн,Львів,Повна зайнятість
"Hardware, Embedded Engineer (Automation team)",Ajax Systems,Київ,Повна зайнятість
Менеджер проєктів,Prometheus,Дистанційно,Повна зайнятість
"Маркетолог (В2В, послуги)",АйТі-Груп,Дніпро,Повна зайнятість
Customer Support Representative (Polish),Yellow Stone,Дистанційно,Повна зайнятість
Middle SEO Specialist,40 000 – 80 000 грн,Одеса,Повна зайнятість
Front-end Developer (Angular 2+),Linkos Group,Київ,Повна зайнятість
Монтажник радіоелектроніки,Netronic,Київ,Повна зайнятість
Молодший юрист,YouControl,Київ,Повна зайнятість
Middle Wordpress Developer,20 000 – 30 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Локальний адміністратор,18 000 грн,Вінниця,Повна зайнятість
Електромонтажник,30 000 грн,Київ,Повна зайнятість
Junior QA engineer,16 000 – 20 000 грн,Черкаси,Повна зайнятість
Product manager,Netronic,Київ,Повна зайнятість
Менеджер з продажу,12 500 – 17 000 грн,Дистанційно,Повна зайнятість
Молодший фінансовий контролер,MAUDAU,Київ,Повна зайнятість
Full Stack Developer (Python),Dinamicka Development,Київ,Повна зайнятість
SEO Specialist (Middle),41 000 грн,Київ,Повна зайнятість
Консультант з впровадження (калькулювання собівартості),IT-Enterprise,Дистанційно,Повна зайнятість
Менеджер з продажу (IT),Innoware,Київ,Повна зайнятість
Комплектувальник готової продукції,Netronic,Київ,Повна зайнятість
Senior Digital Graphic Designer,DiJust,Київ,Повна зайнятість
Менеджер по персоналу,Укрнет,Київ,Повна зайнятість
Media Buyer,Giti//c,Дистанційно,Повна зайнятість
"Аналітик бізнес-систем (банки, фінанси)",Укр.Пей,Київ,Повна зайнятість
Оператор-налаштувальник ЧПК,Netronic,Київ,Повна зайнятість
Помічник HR-менеджера,30 000 – 35 000 грн,Київ,Повна зайнятість
Full Stack C#/.Net Developer,PNN Soft,Дистанційно,Повна зайнятість
Менеджер інтернет-магазину (техніка Apple),15 000 – 40 000 грн,Київ,Повна зайнятість
Affiliate Manager,Atlim,Київ,Повна зайнятість
Trainee SEO Specialist,12 000 – 20 000 грн,Одеса,Повна зайнятість
Менеджер із залучення клієнтів,20 000 – 25 000 грн,Івано-Франківськ,Повна зайнятість
Product manager (iGaming),EvoPlay,Київ,Повна зайнятість
Customer Support Manager (Spanish),Yellow Stone,Дистанційно,Повна зайнятість
Senior інженер-конструктор (Solidworks),50 000 – 120 000 грн,Київ,Повна зайнятість
Менеджер по продажам (B2B),TG Consulting,Київ,Повна зайнятість
Editor (English),"Хекса, ТОВ",Дистанційно,Повна зайнятість
Інженер з ремонту БПЛА,Intecracy Group,Київ,Повна зайнятість
Фахівець текстової підтримки (жестова мова),18 000 грн,Дистанційно,Повна зайнятість
Middle Graphic Designer,SoftSvit,Київ,Повна зайнятість
"Sales Analyst (PowerBI, Python)",60 000 грн,Дистанційно,Повна зайнятість
Бухгалтер-аналітик,25 000 грн,Хмельницький,Повна зайнятість
Адміністратор відділу,12 000 грн,Хмельницький,Повна зайнятість
Middle Software C++ Engineer,Renesas Electronics,Дистанційно,Неповна зайнятість
Customer Support Agent (знання німецької мови),Yellow Stone,Дистанційно,"Повна зайнятість, неповна зайнятість"
Junior Product Designer,12 000 – 20 000 грн,Одеса,Повна зайнятість
Менеджер з продажу,18 000 – 30 000 грн,Дистанційно,Повна зайнятість
Ведучий аналітик з функціями керівника проєкту з впровадження BAS ERP,50 000 – 80 000 грн,Дистанційно,Повна зайнятість
Facebook Media Buyer,DiJust,Київ,Повна зайнятість
Junior QA Engineer,ThinkMobiles,Ужгород,Повна зайнятість
"Marketing Manager, Generalist",IT-Solutions,Київ,Повна зайнятість
Бухгалтер (Клієнт-Банк),"SI Group, LLC",Київ,Повна зайнятість
Sales manager,"SI Group, LLC",Київ,Повна зайнятість
Junior Front-End Developer,15 000 – 25 000 грн,Дистанційно,Неповна зайнятість
Сервісний інженер з обслуговування сортувальних ліній,30 000 – 40 000 грн,Київ,Повна зайнятість
Оператор call-центру (вхідна лінія),12 000 – 17 000 грн,Вінниця,Повна зайнятість
Customer Support Specialist,Poklyk,Київ,Повна зайнятість
"Менеджер з продажу, по роботі з клієнтами, оператор call-центру (B2B-послуги)",30 000 – 65 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Support Monitoring Manager,EvoPlay,Київ,Повна зайнятість
"Оператор чату, менеджер по роботі з клієнтами (B2B)",12 000 – 30 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Head of marketing,Смарт Кафе,Дистанційно,Повна зайнятість
Менеджер з продажу ІТ-рішень,45 000 – 65 000 грн,Дистанційно,Повна зайнятість
Presale-консультант з ІТ-інфраструктури,IT-Solutions,Київ,Повна зайнятість
Оператор служби підтримки,EvoPlay,Дистанційно,"Повна зайнятість, неповна зайнятість"
Менеджер відділу технічної підтримки (німецька мова),Vіneo Services GmbH,Львів,Повна зайнятість
"Back-end Developer (PHP, Laravel)",49 000 – 66 000 грн,Київ,Повна зайнятість
International Contract Lawyer,EvoPlay,Київ,Повна зайнятість
Junior PHP Developer,40 000 – 60 000 грн,Дніпро,Повна зайнятість
Customer Support Manager (знання польської мови),Yellow Stone,Дистанційно,"Повна зайнятість, неповна зайнятість"
Support Monitoring Manager,EvoPlay,Київ,Повна зайнятість
"Адміністративний асистент, administrative assistant",3Shape Ukraine,Київ,Повна зайнятість
Оператор call-центру,15 000 грн,Івано-Франківськ,Повна зайнятість
"Маркетолог, growth hacker",25 000 – 45 000 грн,Дистанційно,Неповна зайнятість
"UI Artist (Strong Middle, Senior)",Gameloft,Дистанційно,Повна зайнятість
Chief technical officer,EvoPlay,Дистанційно,Повна зайнятість
Менеджер-консультант клієнтського досвіду,18 000 грн,Київ,Повна зайнятість
Assistant to Sales Manager,20 000 – 25 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Провідний менеджер з продажу IT-послуг,IT-Solutions,Київ,Повна зайнятість
Бухгалтер,EvoPlay,Київ,Повна зайнятість
Закупівельник електронних компонентів зі знанням китайської мови,Ajax Systems,Київ,Повна зайнятість
Митний брокер,25 000 – 40 000 грн,Київ,Повна зайнятість
Менеджер з продажу (В2В),MAUDAU,Дистанційно,Повна зайнятість
Backend developer,Linkos Group,Київ,Повна зайнятість
"Junior, senior Python-розробник",Key M,Дистанційно,Повна зайнятість
Консультант із впровадження ERP-систем (зарплата і кадри),IT-Enterprise,Дистанційно,Повна зайнятість
Адміністратор магазину,20 000 – 25 000 грн,Київ,Повна зайнятість
Embedded-розробник,Ajax Systems,Львів,Повна зайнятість
Node.js-розробник,Key M,Дистанційно,Повна зайнятість
Бухгалтер-аудитор,MAUDAU,Київ,Повна зайнятість
Linkbuilder,DiJust,Київ,Повна зайнятість
Системний адміністратор,DiJust,Київ,Повна зайнятість
Помічник маркетолога,Cleveroad Inc.,Дистанційно,Повна зайнятість
"Lead Generation Specialist (Email, Linkedin, Cold Calling)",33 500 – 62 000 грн,Дистанційно,Повна зайнятість
Інженер-конструктор,Netronic,Київ,Повна зайнятість
QA-інженер (мануальне та автоматизоване тестування),Key M,Дистанційно,Повна зайнятість
Сервісний інженер-енергетик ЦОД,De Novo,Київ,Повна зайнятість
Менеджер з продажу,25 000 – 45 000 грн,Луцьк,Повна зайнятість
System administrator,Fin Plus Plus LLC,Харків,Повна зайнятість
"Фахівець зі стандартизації, сертифікації та якості",De Novo,Київ,Повна зайнятість
Проєктний менеджер,YouControl,Дистанційно,Повна зайнятість
Junior Affiliate Manager (Betting),ASAP Solution,Дистанційно,Повна зайнятість
Комірник,22 400 – 32 000 грн,Київ,Повна зайнятість
Керівник відділу продажів,IT-Solutions,Київ,Повна зайнятість
Influencer Marketing Manager,20 000 – 60 000 грн,Дистанційно,Повна зайнятість
Senior PR-manager,DiJust,Київ,Повна зайнятість
"Senior, Middle Android Auto Java Kotlin Developer",45 000 – 90 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Back Office Lead,Uklon,Київ,Повна зайнятість
UX/UI-дизайнер,40 000 грн,Київ,Неповна зайнятість
Керівник виробництва,Netronic,Київ,Повна зайнятість
Flutter developer,30 000 – 65 000 грн,Київ,"Повна зайнятість, неповна зайнятість"
WordPress developer,"Wezom, IT-компания",Дистанційно,Повна зайнятість
CRM Manager (Push notifications),Giti//c,Дистанційно,Повна зайнятість
Quality Control Manager,Fin Plus Plus LLC,Дистанційно,Повна зайнятість
System administrator,Fin Plus Plus LLC,Харків,Повна зайнятість
System administrator,Fin Plus Plus LLC,Дніпро,Повна зайнятість
System administrator (L2),Fin Plus Plus LLC,Дніпро,Повна зайнятість
Client Marketing Coordinator (USA),Cyber Bark LLC,Дистанційно,Повна зайнятість
"SMM-менеджер, контент-мейкер",15 000 – 20 000 грн,Чернігів,Неповна зайнятість
Бізнес-аналітик,30 000 – 60 000 грн,Дистанційно,Повна зайнятість
Технік,Vending Land,Київ,Повна зайнятість
Front-end програміст,40 000 – 100 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Game designer (Mobile RPG),12 000 – 25 000 грн,Дистанційно,Повна зайнятість
Закупівельник (планування і забезпечення),Ajax Systems,Київ,Повна зайнятість
Монтажник слабкострумових систем,АМ Интегратор Груп,Київ,Повна зайнятість
Системний адміністратор,30 000 грн,Київ,Повна зайнятість
Lead Generation Specialist,11 000 – 19 000 грн,Дистанційно,Повна зайнятість
Электрик,30 000 – 50 000 грн,Київ,Повна зайнятість
Менеджер з продажу,20 000 – 40 000 грн,Дрогобич,Повна зайнятість
Full stack developer (JavaScript),39 000 – 55 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Дизайнер мокапов в Photoshop,14 000 – 20 000 грн,Дистанційно,Повна зайнятість
Тестувальник казино-застосунків,28 000 – 32 000 грн,Київ,Повна зайнятість
Marketing Campaigns Support Representative,16 400 – 18 500 грн,Дистанційно,Повна зайнятість
Laravel developer,Web Colors,Дистанційно,"Повна зайнятість, неповна зайнятість"
Помічник інтернет-маркетолога,27 000 грн,Київ,Повна зайнятість
Risk manager,26 000 – 28 000 грн,Київ,Повна зайнятість
"2D-аніматор, компоузер в After Effects",GrandMA Studios,Дистанційно,Повна зайнятість
Графічний дизайнер,20 000 – 40 000 грн,Луцьк,Повна зайнятість
Customer service manager with English language (IT),18 000 грн,Дистанційно,Повна зайнятість
Affiliate Manager,40 000 – 120 000 грн,Дистанційно,Повна зайнятість
Викладач Python для дітей,GoITeens,Дистанційно,Неповна зайнятість
"Консультант-аналітик 1С, BAS",40 000 – 100 000 грн,Дистанційно,Повна зайнятість
Системний аналітик (SA) відділу розробки,30 000 – 40 000 грн,Київ,Повна зайнятість
Менеджер із закупівель Hard and Soft-продуктів,Techsvit,Київ,Повна зайнятість
Менеджер проєктів (лівий берег),15 000 – 25 000 грн,Кам'янське,Повна зайнятість
Регіональний менеджер з продажу,Askep.net,Львів,Повна зайнятість
"Бухгалтер з первинної документації, договорів, оператор 1С",20 000 – 25 000 грн,Львів,Повна зайнятість
Media Buyer (Facebook),65 000 грн,Дистанційно,Повна зайнятість
Менеджер з продажу ІТ-проєктів,АМ Интегратор Груп,Київ,Повна зайнятість
Менеджера з продажів,Nadlana LTD,Дистанційно,"Повна зайнятість, неповна зайнятість"
Project Manager (Innovation Scope),Ajax Systems,Київ,Повна зайнятість
Розробник Full stack (ASP.NET/.NET Core&JS),Linkos Group,Київ,Повна зайнятість
Менеджер з продажу,20 000 – 40 000 грн,Червоноград,Повна зайнятість
Пайщик,20 000 – 35 000 грн,Львів,Повна зайнятість
Менеджер з продажу,Techsvit,Київ,Повна зайнятість
Менеджер з планування (інновації),Ajax Systems,Київ,Повна зайнятість
Вебдизайнер,"Первая Украинская Студия, ООО",Дніпро,Повна зайнятість
Спеціаліст з супроводу користувачів M.E.Doc,M.E.Doc,Чорноморськ,Повна зайнятість
Менеджер з продажу,40 000 – 70 000 грн,Дистанційно,Повна зайнятість
Appointment Setter,19 000 – 28 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Junior системний адміністратор (Windows),De Novo,Київ,Повна зайнятість
Майстер з ремонту комп'ютерної техніки,35 000 – 40 000 грн,Хмельницький,Повна зайнятість
Technical Support Manager,18 000 – 23 000 грн,Дистанційно,Повна зайнятість
PPC Specialist,EVO,Дистанційно,Повна зайнятість
E-mail marketing specialist,XTiles,Дистанційно,Повна зайнятість
Бухгалтер-консультант (ВАS),25 000 грн,Київ,Повна зайнятість
Помічник бухгалтера по роботі з первинною документацією,Netronic,Харків,Повна зайнятість
"Програміст (BAS, 1С:Підприємство)","Софтком, IT-компанія",Київ,Повна зайнятість
Менеджер з продажу (програмних продуктів),20 000 – 40 000 грн,Київ,Повна зайнятість
"PHP, Symfony-розробник",70 000 – 120 000 грн,Дистанційно,Повна зайнятість
HR-менеджер,20 000 – 30 000 грн,Хмельницький,Повна зайнятість
Спеціаліст лінії технічної підтримки,20 000 – 25 000 грн,Київ,Повна зайнятість
Оператор контакт-центру (японська мова),EvoPlay,Київ,Повна зайнятість
Project Manager (IT),23 000 – 61 000 грн,Київ,Повна зайнятість
Оператор контакт-центру (гарячі ліди),14 000 – 18 000 грн,Дистанційно,Повна зайнятість
"Executive director, CEO",MagneticOne,Дистанційно,Повна зайнятість
Помічник дизайнера,Kovinko Design Group,Дистанційно,Неповна зайнятість
Unity developer,20 000 – 50 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Technical Modeler,25 000 – 60 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Front-End Developer (Vue.js),B Software Entertainment,Дистанційно,Повна зайнятість
"Менеджер з продажу (Allegro, Amazon та Shopify)",20 000 – 50 000 грн,Дистанційно,Повна зайнятість
Intern Software Developer (Intern),Evryka - Digital Innovatove Solutions,Дистанційно,"Повна зайнятість, неповна зайнятість"
Middle Linkbuilder,SKELAR,Дистанційно,"Повна зайнятість, неповна зайнятість"
Менеджер по привлечению клиентов,8 000 – 15 000 грн,Дистанційно,Повна зайнятість
"Технік, майстер з обслуговування та ремонту платіжних терміналів з авто",15 000 грн,Сарни,Неповна зайнятість
Комірник-пакувальник,22 400 – 30 000 грн,Київ,Повна зайнятість
"Технік, майстер, інженер з обслуговування та ремонту платіжних терміналів з авто",20 000 грн,Конотоп,Неповна зайнятість
Junior Embedded QA Engineer,Ajax Systems,Київ,Повна зайнятість
"Персональний асистент, помічник",14 000 – 36 000 грн,Полтава,"Повна зайнятість, неповна зайнятість"
UI-розробник,Innovation Group,Дистанційно,Повна зайнятість
"IT-спеціаліст технічної підтримки клієнтів, системний адміністратор (VoIP)",25 000 – 41 500 грн,Дистанційно,Повна зайнятість
"IT-спеціаліст по роботі з клієнтами, Account Manager",15 000 – 25 000 грн,Дистанційно,Повна зайнятість
Заступник керівника складської логістики,Omnicore,Київ,Повна зайнятість
Технічний письменник,Linkos Group,Київ,Повна зайнятість
"SMM-менеджер, помічник в маркетингову агенцію",14 000 – 20 000 грн,Чернівці,Повна зайнятість
SEO-специалист,40 000 – 70 000 грн,Дистанційно,Повна зайнятість
Project manager,Halo Lab,Дистанційно,Повна зайнятість
Менеджер з корпоративних продажів паперової продукції,Всесвіт,Запоріжжя,Повна зайнятість
Graphic designer (Betting),ASAP Solution,Дистанційно,Повна зайнятість
Інженер з обслуговування терміналів (власне авто),24 000 – 30 000 грн,Київ,Повна зайнятість
Lead generation specialist,Artjoker Web communications,Дистанційно,Повна зайнятість
Аналітик системи електронного документообігу,"Нафтогаз Цифрові Технології, ТОВ",Київ,Повна зайнятість
"Композитор, саунд-дизайнер",Artman Studio,Київ,Повна зайнятість
Сервісний інженер з обслуговування сортувальних ліній,30 000 – 40 000 грн,Львів,Повна зайнятість
Менеджер з продажу,Askep.net,Львів,Повна зайнятість
"Фінансовий менеджер, бухгалтер",28 000 – 30 000 грн,Дистанційно,Повна зайнятість
Digital Marketing Manager,SoftSvit,Київ,Повна зайнятість
Graphic Designer,Unilime,Дистанційно,Повна зайнятість
Менеджер з продажу,20 000 – 40 000 грн,Ковель,Повна зайнятість
Менеджер з продажу,20 000 – 40 000 грн,Мукачево,Повна зайнятість
Бухгалтер,"Танграм, група компаній",Київ,Повна зайнятість
Офіс-менеджер,Кварт-Софт,Київ,Повна зайнятість
Системный администратор хостинг-серверов,36 000 – 45 000 грн,Дистанційно,Повна зайнятість
"Консультант технічної підтримки, Customer Support Consultant (German)",3Shape Ukraine,Київ,Повна зайнятість
Junior Project Manager,CRMiUM,Дистанційно,Повна зайнятість
Інженер електроніки,35 000 – 46 000 грн,Київ,Повна зайнятість
Linkbuilder (iGaming),EvoPlay,Дистанційно,Повна зайнятість
Information Security Lead,Uklon,Київ,Повна зайнятість
Електрик на виробництво у Хотів,37 300 грн,Хотів шукаємо у Києві,Повна зайнятість
Диспетчер пульта (пункт централізованого спостереження),De Novo,Київ,Повна зайнятість
Системний адміністратор,EvoPlay,Київ,Повна зайнятість
Бухгалтер з обліку заробітної плати (RozetkaPay),35 000 грн,Київ,Повна зайнятість
SEO-спеціаліст,Kenner Soft Service GmbH,Дистанційно,Повна зайнятість
Робочий на виробництво,18 000 – 20 000 грн,Київ,Повна зайнятість
Web-дизайнер,Unilime,Дистанційно,Повна зайнятість
Аналітик,"Фабрика Даних, ТОВ",Київ,Повна зайнятість
Водій-експедитор (кат. С),35 000 грн,Дубляни,Повна зайнятість
Спеціаліст з рішень з інформаційної безпеки,50 000 – 82 000 грн,Київ,Повна зайнятість
Логіст,24 000 – 29 500 грн,Київ,Повна зайнятість
Бухгалтер (ФОП),Crunch,Львів,Повна зайнятість
Програміст 1С,40 000 – 80 000 грн,Київ,Повна зайнятість
Creative Content Writer,Evogence,Дистанційно,Повна зайнятість
Software PHP Developer,Evogence,Дистанційно,Повна зайнятість
Офіс-менеджер,Qwerty.Software,Запоріжжя,Повна зайнятість
Спеціаліст з тендерів,"Абкоммунікейшен, ТОВ",Київ,Повна зайнятість
"SMM-, контент-менеджер (TikTok, Instagram, Facebook)",25 000 грн,Дистанційно,Повна зайнятість
Менеджер служби підтримки (E-Commerce Customer Support),25 000 грн,Дистанційно,Повна зайнятість
Спеціаліст з реклами на Amazon (PPC-менеджер),25 000 грн,Дистанційно,Повна зайнятість
Спеціаліст технічної підтримки (зі знанням грузинської мови),Effie,Дистанційно,Повна зайнятість
Аккаунт-менеджер,Qwerty.Software,Дистанційно,Повна зайнятість
Support Engineer (with french language),Ajax Systems,Київ,Повна зайнятість
Бухгалтер по оплатам,Corytech,Київ,Повна зайнятість
Affiliate manager,EvoPlay,Дистанційно,Повна зайнятість
PPC-спеціаліст,60 000 – 100 000 грн,Дистанційно,Повна зайнятість
Business Development Manager (Polish),Jooble,Дистанційно,Повна зайнятість
"Завгосп, господарник",Netronic,Київ,Неповна зайнятість
Менеджер з продажу в IT-компанію Ringostat,Ringostat,Дистанційно,Повна зайнятість
Інженер-конструктор,Sumix Ukraine,Київ,Повна зайнятість
Middle Traffic Manager,appflame,Київ,Повна зайнятість
Content Manager,Interactivity,Дистанційно,Повна зайнятість
"Trainee, Junior Data Analyst",20 000 – 30 000 грн,Дистанційно,Повна зайнятість
Менеджер з продажу (корпоративний сегмент),LIGA ZAKON,Київ,Повна зайнятість
Молодший категорійний менеджер,MAUDAU,Київ,Повна зайнятість
Менеджер по роботі з клієнтами,35 000 – 60 000 грн,Київ,Повна зайнятість
Провідний технолог (виробництво),Netronic,Київ,Повна зайнятість
Інженер електроніки,Ajax Systems,Київ,Повна зайнятість
Product Marketing Manager (Affiliate),EvoPlay,Дистанційно,Повна зайнятість
Системний адміністратор,BetterMe,Київ,Повна зайнятість
"Frontend-developer (React.js, RN)",35 000 – 90 000 грн,Дистанційно,Повна зайнятість
Affiliate Support Manager,EvoPlay,Київ,Повна зайнятість
Internship Technical Support Specialist (Ringostat),Ringostat,Дистанційно,Повна зайнятість
Системний адміністратор,"Епос, ТОВ",Київ,Повна зайнятість
Accountant,61 000 грн,Дистанційно,Повна зайнятість
Chief Commercial Officer,TapOk,Дистанційно,Повна зайнятість
Product Analyst,Netpeak Group,Дистанційно,Повна зайнятість
Sales manager,IT-Enterprise,Київ,Повна зайнятість
Юрист з договірної роботи,IT-Enterprise,Київ,Повна зайнятість
Пакувальник,22 440 – 40 000 грн,Київ,Повна зайнятість
App Store Accounts Farmer Manager,Upstars,Дистанційно,Повна зайнятість
Провідний консультант SAP HCM (PY),"Нафтогаз Цифрові Технології, ТОВ",Дистанційно,Повна зайнятість
Copywriter,SoftSvit,Київ,Повна зайнятість
Керівник відділу продажу (В2В),60 000 – 100 000 грн,Дистанційно,Повна зайнятість
Head of Tax and Reporting,ASAP Solution,Дистанційно,Повна зайнятість
"Sales Manager (B2B, ""Вчасно.ЕДО"")",40 000 – 80 000 грн,Дистанційно,Повна зайнятість
"Інженер-проєктант АСК (АСУ, АСУТП, КВП)",ТопСітіСервіс,Львів,Повна зайнятість
Customer support manager,LimTC,Дистанційно,Повна зайнятість
Оператор обробки інформації та програмного забезпечення,LetyShops,Вінниця,Повна зайнятість
Менеджер з продажу (IT),IDeal studio,Дистанційно,"Повна зайнятість, неповна зайнятість"
Lead generation specialist,20 500 – 70 000 грн,Дистанційно,Повна зайнятість
Head of Digital marketing,LIGA ZAKON,Дистанційно,Повна зайнятість
Finance Manager,Codebridge Technology,Дистанційно,Повна зайнятість
"Спеціаліст технічної підтримки, support manager",20 000 грн,Київ,Повна зайнятість
Менеджер проєкту системи документообігу,"Нафтогаз Цифрові Технології, ТОВ",Київ,Повна зайнятість
Graphic Designer,33 000 – 50 000 грн,Київ,Повна зайнятість
Бухгалтер (надання послуг та взаєморозрахунки),20 000 – 25 000 грн,Одеса,Повна зайнятість
Менеджер з партнерського маркетингу,24 000 – 45 000 грн,Дистанційно,Повна зайнятість
Керівник з маркетингу (закордонний ринок),Eska,Київ,Повна зайнятість
Юрист,"Абкоммунікейшен, ТОВ",Київ,Повна зайнятість
Customer Support Representative,Raise.Band,Дистанційно,Повна зайнятість
Керівник відділу комплектації та складу готової продукції,Netronic,Київ,Повна зайнятість
Junior Sales Manager,32 000 – 48 000 грн,Дистанційно,Повна зайнятість
Manual QA Engineer,WorkTime,Київ,Повна зайнятість
Кур'єр на власному автомобілі,45 000 – 65 000 грн,Київ,Повна зайнятість
Business Analyst (IT project),Kyivstar.Tech,Дистанційно,Повна зайнятість
Інженер-електрик,25 000 – 40 000 грн,Київ,Повна зайнятість
Recruiter (HR),Megavast,Київ,Повна зайнятість
Junior Wordpress Developer (Trainee),Appexoft,Львів,Повна зайнятість
Middle SEO Specialist,SoftSvit,Київ,Повна зайнятість
Консультант з підтримки системи електронного документообігу,"Нафтогаз Цифрові Технології, ТОВ",Київ,Повна зайнятість
Junior SEO Specialist,SoftSvit,Київ,Повна зайнятість
Категорійний менеджер (кондитерські товари),MAUDAU,Київ,Повна зайнятість
Account Manager,Релокія,Тернопіль,Повна зайнятість
System Administrator,Fin Plus Plus LLC,Вінниця,Повна зайнятість
Консультант з технічної підтримки (італійська),3Shape Ukraine,Київ,Повна зайнятість
Full Stack developer (JavaScript),Rezet,Дистанційно,Повна зайнятість
Керівник відділу закупівель та складу,Netronic,Київ,Повна зайнятість
"Бізнес-аналітик, консультант Microsoft Dynamics 365 (CRM)",Progresia,Дистанційно,"Повна зайнятість, неповна зайнятість"
Інженер технічної підтримки,20 000 грн,Київ,Повна зайнятість
Junior Creative Specialist,BetterMe,Дистанційно,Повна зайнятість
"Кур'єр з власним вантажним авто (Mercedes Sprinter, Ford Transit )",26 000 – 36 000 грн,Київ,Повна зайнятість
"Javascript developer, програміст",30 000 грн,Дистанційно,Повна зайнятість
System Analyst (IT),"Нафтогаз Цифрові Технології, ТОВ",Дистанційно,Повна зайнятість
Бізнес-аналітик (перша лінія підтримки),Progresia,Дистанційно,Повна зайнятість
