"Title","Location","Company","Employment_Type","site_name","Salary_from","Salary_to","Job_Category","Salary"
"pr manager","Київ","EvoPlay","Full-Time","robota",NA,NA,"Non-IT",NA
"менеджер зед","Київ","Pethouse","Full-Time","robota",NA,NA,"Non-IT",NA
"акаунт-менеджер","Київ","Авеб","Full-Time","robota",NA,NA,"Non-IT",NA
"старший програміст","Дніпро","Interpipe / ІНТЕРПАЙП","Full-Time","robota",NA,NA,"Software Development",NA
"seo specialist","Львів","Devart","Full-Time","robota",NA,NA,"Non-IT",NA
"qa engineer","Харків","Friendly","Full-Time","robota",NA,NA,"Testing",NA
"системний інженер з хмарних та мережевих технологій","Київ","De Novo","Full-Time","robota",NA,NA,"Engineering",NA
"data analyst/game analyst","Київ","ДЗЕН, HR-агенція в сфері digital та IT","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"sysadmin/helpdesk (kyiv office)","Київ","Playtini","Full-Time","robota",NA,NA,"System Administration / DevOps",NA
"провідний фахівець з veeam backup, replication, vmware, linux","Київ","BAYADERA GROUP","Full-Time","robota",NA,NA,"Design",NA
"junior personal assistant","Київ","toogeza","Full-Time","robota",NA,NA,"Non-IT",NA
"customer support representative (зі знанням німецької мови)","Київ","EvoPlay","Full-Time","robota",NA,NA,"Non-IT",NA
"database administrator","Київ","ДТЕК, ТОВ, Енергетична компанія","Full-Time","robota",NA,NA,"System Administration / DevOps",NA
"treasury manager","Київ","ATLASLIVE","Full-Time","robota",NA,NA,"Non-IT",NA
"unity game developer","Харків","Gameloft","Full-Time","robota",NA,NA,"Software Development",NA
"trainee відеомонтажер для соцмереж (tiktok, instagram)","Київ","SOFT.UA, ООО","Full-Time","robota",NA,NA,"AI / Research",NA
"junior аккаунт-менеджер","Київ","Авеб","Full-Time","robota",NA,NA,"Non-IT",NA
"business support analyst","Київ","SAGAX LLC","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"treasury manager","Київ","ATLASLIVE","Full-Time","robota",NA,NA,"Non-IT",NA
"affiliate manager (middle)","Київ","Softsich","Full-Time","robota",NA,NA,"Non-IT",NA
"менеджер з розвитку категорії","Київ","Kasta","Full-Time","robota",NA,NA,"Non-IT",NA
"antifraud specialist","Київ","ChampionClub","Full-Time","robota",NA,NA,"Non-IT",NA
"спеціаліст служби підтримки @ukr.net","Київ","УКРНЕТ","Full-Time","robota",NA,NA,"Non-IT",NA
"програміст 1с/baf","Київ","ІНТЕРСТАРЧ УКРАЇНА, ТОВ","Full-Time","robota",NA,NA,"Software Development",NA
"middle qa engineer (manual)","Київ","КЛІРИНГОВИЙ ДІМ, АБ","Full-Time","robota",NA,NA,"Testing",NA
"junior data quality management specialist","Львів","Nestle Ukraine LLC / Нестле Україна, ТОВ","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"data analyst","Київ","AventusGroup","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"junior photographer","Київ","MixDigital","Full-Time","robota",NA,NA,"Non-IT",NA
"business support analyst","Київ","SAGAX LLC","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"treasury manager","Київ","ATLASLIVE","Full-Time","robota",NA,NA,"Non-IT",NA
"репетитор польської мови","Київ","VirnoS","Full-Time","robota",NA,NA,"Non-IT",NA
"начальник відділу інформаційної безпеки","Київ","Відкриті публічні фінанси, Державна установа","Full-Time","robota",NA,NA,"Non-IT",NA
"design team coordinator","Київ","TRENDFORMER","Full-Time","robota",NA,NA,"Non-IT",NA
"trainee відеомонтажер для соцмереж (tiktok, instagram)","Київ","SOFT.UA, ООО","Full-Time","robota",NA,NA,"AI / Research",NA
"junior influence manager","Київ","Perla Helsa","Full-Time","robota",NA,NA,"Non-IT",NA
"адміністратор системи, інженер інформаційно-телекомунікаційних систем, логічне відновлення інформації","Київ","ЕПОС","Full-Time","robota",NA,NA,"System Administration / DevOps",NA
"strong junior back-end developer (.net)","Київ","SmartTender","Full-Time","robota",NA,NA,"Software Development",NA
"начальник відділу інформаційної безпеки","Київ","Відкриті публічні фінанси, Державна установа","Full-Time","robota",NA,NA,"Non-IT",NA
"інженер втк","Київ","Інфозахист, ТОВ, НВЦ","Full-Time","robota",NA,NA,"Engineering",NA
"treasury manager","Київ","ATLASLIVE","Full-Time","robota",NA,NA,"Non-IT",NA
"business support analyst","Київ","SAGAX LLC","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"head of affiliate","Київ","ASAP Solution","Full-Time","robota",80000,80000,"Non-IT",NA
"технічний спеціаліст, інтегратор (front-end, crypto)","Київ","Dark Side Agency","Full-Time","robota",55000,55000,"Non-IT",NA
"сервісний інженер з ремонту електросамокатів, цифрової та побутової техніки, аудіо ресиверів.","Львів","Контакт / Гнатів, ФЛП","Full-Time","robota",52250,52250,"Repair / Maintenance",NA
"менеджер з супровіду клієнтів (польська мова)","Харків","Профі інвест консалтинг, ТОВ","Full-Time","robota",50000,50000,"Non-IT",NA
"монтажник реа","Київ","ДІДЖИТОП ЕЛЕКТРИК, ТОВ","Full-Time","robota",42500,42500,"Repair / Maintenance",NA
"майстер зі встановлення замків","Дніпро","Замок.укр, интернет-магазин","Full-Time","robota",40000,40000,"Repair / Maintenance",NA
"спеціаліст з обробки вхідних замовлень (без дзвінків)","Київ","Мазур Р.С., ФОП","Full-Time","robota",35000,35000,"Non-IT",NA
"junior wordpress developer","Київ","GiftFunny","Full-Time","robota",33000,33000,"Software Development",NA
"junior data analyst","Київ","Avlo Research","Full-Time","robota",32500,32500,"Data Analysis / Data Science",NA
"менеджер back office","Київ","A-Z eCommerce","Full-Time","robota",32500,32500,"Non-IT",NA
"ui/ux designer (без досвіду)","Київ","StructuraInnovations","Full-Time","robota",30000,30000,"Design",NA
"оператор онлайн чату","Одеса","Poznir.K","Full-Time","robota",30000,30000,"Non-IT",NA
"менеджер з адміністративної діяльності","Київ","АТРІУМ-ПРО, ТОВ","Full-Time","robota",30000,30000,"Non-IT",NA
"інженер-програміст верстатів з чпк","Прилуки","Пожмашина, ТОВ, ПК","Full-Time","robota",30000,30000,"Software Development",NA
"customer support manager (онлайн чати)","Київ","Ozone Technologies","Full-Time","robota",29000,29000,"Non-IT",NA
"ux/ui designer (без досвіду, не віддалено)","Київ","Бобровський Д.В., ФОП","Full-Time","robota",29000,29000,"Design",NA
"trainee java developer (без досвіду, не віддалено)","Київ","Judicial Drive, Автомийка","Full-Time","robota",28500,28500,"Software Development",NA
"сервіс-менеджер (фахівець приймання товару) сервисного центра","Київ","Артлайн","Full-Time","robota",27500,27500,"Non-IT",NA
"менеджер з постачання (сільське господарство, автобізнес)","Київ","АГРОМЕНЕДЖЕР, ТОВ","Full-Time","robota",27000,27000,"Non-IT",NA
"оббивщик м'яких меблів","Київ","Никитина Р.В., ФЛП","Full-Time","robota",27000,27000,"Non-IT",NA
"junior c++ developer","Київ","SoloUnit","Full-Time","robota",25000,25000,"Software Development",NA
"майстер зі зборки та тестування комп'ютерної техніки","Київ","775.UA","Full-Time","robota",22500,22500,"Testing",NA
"менеджер кол-центру (жіночий одяг)","Одеса","INTMODA","Full-Time","robota",22000,22000,"Non-IT",NA
"antifraud moderator (remote)","remote","Quarks","Full-Time","robota",21000,21000,"Non-IT",NA
"ветеринарний фельдшер, менеджер на свинокомплекс у вишгород","Вишгород","Центр підвищення ефективності в тваринництві, ТОВ","Full-Time","robota",20000,20000,"Non-IT",NA
"junior/middle seo спеціаліст","Київ","WebRoom","Full-Time","robota",17500,17500,"Non-IT",NA
"менеджер із закупівель","Первомайськ","Qberry","Full-Time","robota",17500,17500,"Non-IT",NA
"майстер з ремонту побутової техніки","Житомир","ElectroSan","Full-Time","robota",17500,17500,"Repair / Maintenance",NA
"оббивальник м'яких меблів","Кропивницький","R-shop.com.ua","Full-Time","robota",17000,17000,"Non-IT",NA
"адміністратор","Запоріжжя","Sklyar","Full-Time","robota",14500,14500,"System Administration / DevOps",NA
"trainee manual qa engineer","Харків","SnoopGame QA","Full-Time","robota",12300,12300,"Testing",NA
"executive assistant with strong english skills (will consider a junior developer)","Київ","Convertain LLC","Full-Time","robota",12000,12000,"Software Development",NA
"qa engineer","Київ","Адміністратор містобудівного кадастру на державному рівні, ДП","Full-Time","robota",NA,NA,"Testing",NA
"t-hub junior freight settlement spec. with knowledge of spanish","Львів","Nestle Ukraine LLC / Нестле Україна, ТОВ","Full-Time","robota",NA,NA,"Non-IT",NA
"консультант з впровадження sap bpc","Київ","MSH Inc. / SAFEMed","Full-Time","robota",NA,NA,"Non-IT",NA
"t-hub junior freight settlement spec. with knowledge of spanish","Львів","Nestle Ukraine LLC / Нестле Україна, ТОВ","Full-Time","robota",NA,NA,"Non-IT",NA
"junior people manager","Київ","WebbyLab","Full-Time","robota",NA,NA,"Non-IT",NA
"qa engineer","Київ","Адміністратор містобудівного кадастру на державному рівні, ДП","Full-Time","robota",NA,NA,"Testing",NA
"інженер-конструктор, механік","Київ","IT Cервіс, ТОВ","Full-Time","robota",NA,NA,"Engineering",NA
"middle javascript game developer","Київ","Firelink Media","Full-Time","robota",NA,NA,"Software Development",NA
"senior specialist/supervisor in it assurance in audit","Київ","KPMG","Full-Time","robota",NA,NA,"Non-IT",NA
"junior seo","Київ","ОПТІМА, ТОВ, Центр освіти","Full-Time","robota",NA,NA,"Non-IT",NA
"програміст bas/1с підприємство","Київ","СОФТКОМ груп, ТОВ","Full-Time","robota",NA,NA,"Software Development",NA
"casino promo manager","Київ","Casino.Ua","Full-Time","robota",NA,NA,"Non-IT",NA
"адміністратор тестових середовищ, junior qa engineer","Київ","Sense Bank","Full-Time","robota",NA,NA,"Testing",NA
"розробник power bi","Дніпро","Подорожник, Мережа аптек","Full-Time","robota",NA,NA,"Software Development",NA
"ui/ux designer","Львів","The Upper Code","Full-Time","robota",NA,NA,"Design",NA
"адміністратор проектів","Київ","Sales'Up IT","Full-Time","robota",NA,NA,"System Administration / DevOps",NA
"frontend developer (react)","Київ","USENSE","Full-Time","robota",NA,NA,"Software Development",NA
"junior system administrator","Київ","Інфозахист, ТОВ, НВЦ","Full-Time","robota",NA,NA,"System Administration / DevOps",NA
"business development representative","Київ","Cloudfresh","Full-Time","robota",NA,NA,"Non-IT",NA
"typescript game developer","Київ","Альта, ЧП, НВФ","Full-Time","robota",NA,NA,"Software Development",NA
"middle finance specialist","Київ","Partnerway","Full-Time","robota",NA,NA,"Non-IT",NA
"провідний інженер з тзі","Київ","ИТ-Интегратор","Full-Time","robota",NA,NA,"Engineering",NA
"senior legal officer","Київ","Zeeks","Full-Time","robota",NA,NA,"Non-IT",NA
"senior legal officer","Київ","Zeeks","Full-Time","robota",NA,NA,"Non-IT",NA
"retention team lead","Київ","TrueGroup","Full-Time","robota",NA,NA,"Non-IT",NA
"seo manager","Київ","Cloudfresh","Full-Time","robota",NA,NA,"Non-IT",NA
"data scientist","Львів","OKKO","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"інженер-конструктор, механік","Київ","IT Cервіс, ТОВ","Full-Time","robota",NA,NA,"Engineering",NA
"junior manual qa engineer","Київ","MysteryTag","Full-Time","robota",NA,NA,"Testing",NA
"middle data engineer","Київ","appflame","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"event manager","Київ","Cloudfresh","Full-Time","robota",NA,NA,"Non-IT",NA
"керівник відділу розвитку партнерств","Одеса","Ringostat","Full-Time","robota",NA,NA,"Non-IT",NA
"financial specialist","Київ","Kombine Tech","Full-Time","robota",NA,NA,"Non-IT",NA
"event manager","Київ","Cloudfresh","Full-Time","robota",NA,NA,"Non-IT",NA
"business analyst","Київ","Join.To.IT","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"junior people manager","Київ","WebbyLab","Full-Time","robota",NA,NA,"Non-IT",NA
"junior manual qa engineer","Київ","MysteryTag","Full-Time","robota",NA,NA,"Testing",NA
"асистент із збору та вводу даних / meal data entry and collection assistant","Миколаїв","Save the Children","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"senior pr-manager","Київ","Netgame","Full-Time","robota",NA,NA,"Non-IT",NA
"токар-розточник","Черкаси","SEMPAL","Full-Time","robota",NA,NA,"Non-IT",NA
"middle front-end developer (javascript, angular 2+) remote","remote","S. Project","Full-Time","robota",NA,NA,"Software Development",NA
"інженер - програміст","Глобине","Глобино, ГК","Full-Time","robota",NA,NA,"Software Development",NA
"trainee/junior software qa engineer","Київ","АгроПростір","Full-Time","robota",NA,NA,"Testing",NA
"провідний інженер з тзі","Київ","ИТ-Интегратор","Full-Time","robota",NA,NA,"Engineering",NA
"middle finance specialist","Київ","Partnerway","Full-Time","robota",NA,NA,"Non-IT",NA
"operations intern","Київ","Railsware Product Studio","Full-Time","robota",NA,NA,"Non-IT",NA
"typescript game developer","Київ","Альта, ЧП, НВФ","Full-Time","robota",NA,NA,"Software Development",NA
"head of affiliate","Київ","НЕЙШН ДІДЖИТАЛ ЕНТЕРТЕЙНМЕНТ, ТОВ","Full-Time","robota",NA,NA,"Non-IT",NA
"business development representative","Київ","Cloudfresh","Full-Time","robota",NA,NA,"Non-IT",NA
"сервісний інженер / інженерка платіжного it обладнання (без досвіду/для студентів) - в м. мукачево і область.","Мукачево","Printec Ukraine LLC","Full-Time","robota",NA,NA,"Engineering",NA
"junior system administrator","Київ","Інфозахист, ТОВ, НВЦ","Full-Time","robota",NA,NA,"System Administration / DevOps",NA
"frontend developer (react)","Київ","USENSE","Full-Time","robota",NA,NA,"Software Development",NA
"адміністратор проектів","Київ","Sales'Up IT","Full-Time","robota",NA,NA,"System Administration / DevOps",NA
"менеджер впровадження лабораторної інформаційної системи (ліс) (id 240)","Київ","HELSI","Full-Time","robota",NA,NA,"Non-IT",NA
"middle qa engineer","Одеса","Цитрус","Full-Time","robota",NA,NA,"Testing",NA
"фахівець з кадрового адміністрування (junior)","Київ","Smart Solutions","Full-Time","robota",NA,NA,"Non-IT",NA
"html-верстальник","Київ","Fernir","Full-Time","robota",NA,NA,"Software Development",NA
"head of affiliate","Київ","НЕЙШН ДІДЖИТАЛ ЕНТЕРТЕЙНМЕНТ, ТОВ","Full-Time","robota",NA,NA,"Non-IT",NA
"junior system administrator","Київ","Інфозахист, ТОВ, НВЦ","Full-Time","robota",NA,NA,"System Administration / DevOps",NA
"провідний інженер з тзі","Київ","ИТ-Интегратор","Full-Time","robota",NA,NA,"Engineering",NA
"розробник на python (на платформі odoo) в офісі!!!","Київ","Supik","Full-Time","robota",NA,NA,"Software Development",NA
"junior analyst","Київ","TALENT HUNTERS HUB","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"business lead generator (specialist)","Київ","2x2 MEDIA LIMITED","Full-Time","robota",NA,NA,"Non-IT",NA
"financial specialist","Київ","Kombine Tech","Full-Time","robota",NA,NA,"Non-IT",NA
"middle data analyst","Київ","Аптека 9-1-1","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"ms dynamics 365 developer","Київ","Out Smart Team","Full-Time","robota",NA,NA,"Software Development",NA
"інженер скд","Київ","EvoPlay","Full-Time","robota",NA,NA,"Engineering",NA
"category (vertical) lead, prom.ua","Київ","EVO","Full-Time","robota",NA,NA,"Non-IT",NA
"інженер - програміст","Глобине","Глобино, ГК","Full-Time","robota",NA,NA,"Software Development",NA
"hardware/embedded engineer (automation team)","Київ","Ajax Systems","Full-Time","robota",NA,NA,"Engineering",NA
"middle unity developer","Київ","MysteryTag","Full-Time","robota",NA,NA,"Software Development",NA
"розробник на python (на платформі odoo) в офісі!!!","Київ","Supik","Full-Time","robota",NA,NA,"Software Development",NA
"спеціаліст з обробки виплат","Київ","Netgame","Full-Time","robota",NA,NA,"Non-IT",NA
"провідний фахівець з інформаційних технологій / full stack developer (typescript/react)","Київ","Danish Refugee Council / Данська Рада у справах біженців в Україні","Full-Time","robota",NA,NA,"Software Development",NA
"категорійний менеджер (junior category manager)","Київ","БІЗНЕС РЕСОРСЕС / BUSINESS RESOURCES","Full-Time","robota",NA,NA,"Non-IT",NA
"інженер - програміст","Глобине","Глобино, ГК","Full-Time","robota",NA,NA,"Software Development",NA
"фахівець з кадрового адміністрування (junior)","Київ","Smart Solutions","Full-Time","robota",NA,NA,"Non-IT",NA
"middle front-end developer (javascript, angular 2+) remote","remote","S. Project","Full-Time","robota",NA,NA,"Software Development",NA
"middle qa engineer","Одеса","Цитрус","Full-Time","robota",NA,NA,"Testing",NA
"operations intern","Київ","Railsware Product Studio","Full-Time","robota",NA,NA,"Non-IT",NA
"lead/senior media buyer (нутра)","Київ","Enthusiasm Community","Full-Time","robota",302500,302500,"Non-IT",NA
"middle/senior native-медиа-байер (нутра)","Київ","Enthusiasm Community","Full-Time","robota",220000,220000,"Non-IT",NA
"lead, senior facebook media buyer (dating, арбітраж)","Київ","Enthusiasm Community","Full-Time","robota",220000,220000,"Non-IT",NA
"middle media buyer (nutra)","Київ","Infinity.hub","Full-Time","robota",160000,160000,"Non-IT",NA
"operational manager - full time (операційний менеджер)","Київ","Hire 1","Full-Time","robota",1e+05,1e+05,"Non-IT",NA
"embedded c/c++ developer/програміст мікроконтролерів","Київ","Droid-technologies","Full-Time","robota",85000,85000,"Software Development",NA
"програміст-налагоджувальник токарних верстатів з чпк","Рівне","Мелітопольський завод автотракторних запчастин, ТОВ","Full-Time","robota",80000,80000,"Software Development",NA
"php developer (laravel, wordpress)","Київ","Life Vision","Full-Time","robota",72500,72500,"Software Development",NA
"fullstack developer php+js","Київ","Всеосвіта, ТОВ","Full-Time","robota",70000,70000,"Software Development",NA
"senior presentation designer (powerpoint)","Київ","Futurepeople","Full-Time","robota",70000,70000,"Design",NA
"керівник відділу закупівель","Київ","Vyriy","Full-Time","robota",60000,60000,"Non-IT",NA
"менеджер відділу регіонального розвитку","Київ","PRO recruitment","Full-Time","robota",57750,57750,"Non-IT",NA
"junior lawyer (advanced english)","Київ","LR Group","Full-Time","robota",57500,57500,"Non-IT",NA
"people partner","Київ","PRO recruitment","Full-Time","robota",55250,55250,"Non-IT",NA
"годинникар, майстер з ремонту годинників","Одеса","Correa, Магазин-майстерня","Full-Time","robota",55000,55000,"Repair / Maintenance",NA
"іт спеціаліст","Київ","Business automation key / BAK","Full-Time","robota",55000,55000,"Non-IT",NA
"програміст bas (1с)","Київ","ERP Solutions","Full-Time","robota",52500,52500,"Software Development",NA
"flutter developer","Київ","УКР.ПЕЙ, ТОВ","Full-Time","robota",47500,47500,"Software Development",NA
"агент з офісної нерухомості (junior)","Київ","Office Finder","Full-Time","robota",42500,42500,"Non-IT",NA
"electronics engineer","Київ","Vidar Systems","Full-Time","robota",40000,40000,"Engineering",NA
"technical support specialist","Київ","BT9 Ukraine","Full-Time","robota",37000,37000,"Non-IT",NA
"менеджер чату, customer support","Київ","SL","Full-Time","robota",35000,35000,"Non-IT",NA
"офіс менеджер,аналітик з закупок","Львів","Gospodar TM","Full-Time","robota",35000,35000,"Data Analysis / Data Science",NA
"менеджер приймальник (apple, android) у софіївську борщагівку","Київ","iLounge","Full-Time","robota",32500,32500,"Non-IT",NA
"веб-розробник","Київ","Авто 12","Full-Time","robota",30000,30000,"Software Development",NA
"інженер-програміст чпк (технолог)","Дніпро","Алеф, ТПК/ ALEF","Full-Time","robota",30000,30000,"Software Development",NA
"програміст конфігурації bas","Кропивницький","А-Софт","Full-Time","robota",27500,27500,"Software Development",NA
"trainee front-end developer","Київ","Talent Force","Full-Time","robota",26500,26500,"Software Development",NA
"менеджер чату","Київ","Velvet Desire","Full-Time","robota",26000,26000,"Non-IT",NA
"customer support representative (servicedesk)","Київ","ТЕХНОМАТИКА","Full-Time","robota",25000,25000,"Repair / Maintenance",NA
"асистент керівника","Запоріжжя","НЕВСОФТ, ТОВ","Full-Time","robota",25000,25000,"Non-IT",NA
"майстер з ремонту телефонів та гаджетів (шулявська)","Київ","AKS.ua / АКС","Full-Time","robota",25000,25000,"Repair / Maintenance",NA
"менеджер з листування","Київ","ChicBoutique","Full-Time","robota",24500,24500,"Non-IT",NA
"менеджер сервісного центру","Київ","DC Link","Full-Time","robota",23500,23500,"Non-IT",NA
"java developer","Київ","Test Labs Incorporated","Full-Time","robota",22500,22500,"Software Development",NA
"майстер із ремонту принтерів","Кривий Ріг","Сорос, Сервісний центр","Full-Time","robota",22500,22500,"Repair / Maintenance",NA
"постдрукар, співробітник в цифрову друкарню","Київ","Vizitka.com","Full-Time","robota",22500,22500,"Non-IT",NA
"бізнес-асистент керівника","Київ","Ecom-X","Full-Time","robota",22000,22000,"Non-IT",NA
"junior html-верстальник","Київ","Похил М.В., ФОП","Full-Time","robota",22000,22000,"Software Development",NA
"ios developer","Львів","ELDEVELOP","Full-Time","robota",22000,22000,"Software Development",NA
"вантажник-пакувальник","Київ","Vyriy","Full-Time","robota",21000,21000,"Non-IT",NA
"technical support manager","Київ","Хорошоп","Full-Time","robota",20500,20500,"Non-IT",NA
"комплектувальник","Київ","АвтоТО, интернет-магазин автозапчастей","Full-Time","robota",20000,20000,"Non-IT",NA
"комплектувальник","Київ","АвтоТО, интернет-магазин автозапчастей","Full-Time","robota",20000,20000,"Non-IT",NA
"сервісний інженер по обслуговуванню водонагрівачів","Київ","Альфа Сервис, ООО","Full-Time","robota",18500,18500,"Engineering",NA
"майстер із ремонту оргтехніки (ремонт принтерів, комп'ютерів)","Дніпро","Новый Сервис","Full-Time","robota",17500,17500,"Repair / Maintenance",NA
"помічник системного адміністратора","Київ","Fernir","Full-Time","robota",16000,16000,"System Administration / DevOps",NA
"токар","Рівне","Високовольтний Союз - РЗВА, ТОВ","Full-Time","robota",16000,16000,"Non-IT",NA
"junior frontend developer / intern","Львів","DevsData LLC","Full-Time","robota",15456,15456,"Software Development",NA
"адміністратор відділу","Хмельницький","Системи для бізнесу","Full-Time","robota",12000,12000,"System Administration / DevOps",NA
"электрослесарь дежурный и по ремонту оборудования 4-5 р","Кривий Ріг","Электромашпромсервис, ПАО","Full-Time","robota",12000,12000,"Repair / Maintenance",NA
"закрійник","Конотоп","Горка","Full-Time","robota",11000,11000,"Non-IT",NA
"front-end тех лід","Київ","Your Price Booking","Full-Time","robota",285,285,"Non-IT",NA
"створювач креативів для мобільних ігор","Київ","Альта, ЧП, НВФ","Full-Time","robota",NA,NA,"Non-IT",NA
"financial controller","Дніпро","GG.BET","Full-Time","robota",NA,NA,"Non-IT",NA
"financial controller","Чернівці","GG.BET","Full-Time","robota",NA,NA,"Non-IT",NA
"hr data analyst","Київ","ПриватБанк","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"full-stack/backend розробника (node.js, nest.js)","Київ","QDS","Full-Time","robota",NA,NA,"Software Development",NA
"customer support agent","Київ","JatApp","Full-Time","robota",NA,NA,"Non-IT",NA
"junior lawyer","Київ","Шаркскод, ТОВ","Full-Time","robota",NA,NA,"Non-IT",NA
"middle traffic manager","Київ","appflame","Full-Time","robota",NA,NA,"Non-IT",NA
"risk manager","Київ","EvoPlay","Full-Time","robota",NA,NA,"Non-IT",NA
"chat support manager (ua)","Київ","ChampionClub","Full-Time","robota",NA,NA,"Non-IT",NA
"php developer","Київ","Асоціація Українсько - Китайського Співробітництва","Full-Time","robota",NA,NA,"Software Development",NA
"програміст it-enterprise","Київ","Укрзалізниця, АТ","Full-Time","robota",NA,NA,"Software Development",NA
"программист 1 с","Київ","Брокбрідж","Full-Time","robota",NA,NA,"Non-IT",NA
"hr data analyst","Дніпро","ПриватБанк","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"помічник директора з розвитку бізнесу","Київ","OMNICORE","Full-Time","robota",NA,NA,"Non-IT",NA
"data analyst","Київ","ДТЕК, ТОВ, Енергетична компанія","Full-Time","robota",NA,NA,"Data Analysis / Data Science",NA
"інженер - програміст систем автоматизації","Суми","Полісан","Full-Time","robota",NA,NA,"Software Development",NA
"scriptwriter (humour_english) (legit)","Київ","Genesis","Full-Time","robota",NA,NA,"Non-IT",NA
"senior / lead seo specialist (офіс)","Київ","AURUM","Full-Time","robota",NA,NA,"Non-IT",NA
"head of media buying (все источники и вертикали)","Київ","Enthusiasm Community","Full-Time","robota",NA,NA,"Non-IT",NA
"machine learning engineer","Київ","appflame","Full-Time","robota",NA,NA,"AI / Research",NA
"спеціаліст з ремонту та обслуговування систем кондиціонування","Вінниця","Промавтоматика Вінниця","Full-Time","robota",NA,NA,"Repair / Maintenance",NA
"сервісний інженер систем вентиляції та кондиціонування цод","Київ","De Novo","Full-Time","robota",NA,NA,"Engineering",NA
"монтажник слабострумових мереж та обладнання систем безпеки (скс, свн, скд, сос)","Київ","Space IT","Full-Time","robota",NA,NA,"Repair / Maintenance",NA
"applications engineer (прикладний інженер)","Львів","Renesas","Full-Time","robota",NA,NA,"Engineering",NA
"betting risk manager","Київ","DATA.BET","Full-Time","robota",NA,NA,"Non-IT",NA
"senior frontend developer","Київ","robota.ua","Full-Time","robota",NA,NA,"Software Development",NA
"програміст 1с","Київ","MD-fashion","Full-Time","robota",NA,NA,"Software Development",NA
"junior legal support specialist with turkish","Львів","Nestle Ukraine LLC / Нестле Україна, ТОВ","Full-Time","robota",NA,NA,"Non-IT",NA
"senior / lead seo specialist (офіс)","Київ","AURUM","Full-Time","robota",NA,NA,"Non-IT",NA
"middle traffic manager","Київ","appflame","Full-Time","robota",NA,NA,"Non-IT",NA
"помічник директора з розвитку бізнесу","Київ","OMNICORE","Full-Time","robota",NA,NA,"Non-IT",NA
"програміст 1с","Одеса","MD-fashion","Full-Time","robota",NA,NA,"Software Development",NA
"програміст it-enterprise","Київ","Укрзалізниця, АТ","Full-Time","robota",NA,NA,"Software Development",NA
"программист 1 с","Київ","Брокбрідж","Full-Time","robota",NA,NA,"Non-IT",NA
"інженер радіоелектроніки","Київ","FRDM Group","Full-Time","robota",NA,NA,"Engineering",NA
"інженер-програміст","Нікополь","Interpipe / ІНТЕРПАЙП","Full-Time","robota",NA,NA,"Software Development",NA
"middle backend developer","Київ","Linkos Group","Full-Time","robota",NA,NA,"Software Development",NA
"заступник директора е-сом","Київ","YUKI","Full-Time","robota",NA,NA,"Non-IT",NA
"senior affiliate manager/affiliate team lead","Київ","Atlim","Full-Time","robota",NA,NA,"Non-IT",NA
"database developer (адміністрування postgresql)","Київ","ДТЕК, ТОВ, Енергетична компанія","Full-Time","robota",NA,NA,"Software Development",NA
"facebook senior media buyer / aрбитражник (арбитраж трафика): нутра","Київ","Enthusiasm Community","Full-Time","robota",NA,NA,"Non-IT",NA
"junior tax support specialist","Львів","Nestle Ukraine LLC / Нестле Україна, ТОВ","Full-Time","robota",NA,NA,"Non-IT",NA
"помічник менеджера зед (імпорт)","Київ","Make","Full-Time","robota",NA,NA,"Non-IT",NA
"керівник редакції ""технології""","Київ","LIGA.net","Full-Time","robota",NA,NA,"Non-IT",NA
"middle graphic designer","Київ","JatApp","Full-Time","robota",NA,NA,"Design",NA
"аудіо-візуальний інженер","Київ","DEKOM UKRAINE","Full-Time","robota",NA,NA,"Engineering",NA
"інженер радіоелектроніки","Київ","FRDM Group","Full-Time","robota",NA,NA,"Engineering",NA
"content manager (duomo)","Київ","Genesis","Full-Time","robota",NA,NA,"Non-IT",NA
"senior supply chain manager","Київ","Teva","Full-Time","robota",NA,NA,"AI / Research",NA
"content manager (duomo)","Київ","Genesis","Full-Time","robota",NA,NA,"Non-IT",NA
"scriptwriter (humour_english) (legit)","Київ","Genesis","Full-Time","robota",NA,NA,"Non-IT",NA
"business systems developer","Київ","СІМПАТІК ГРУП","Full-Time","robota",NA,NA,"Software Development",NA
"senior seo specialist","Київ","044 agency.","Full-Time","robota",NA,NA,"Non-IT",NA
"head of media buying (все источники и вертикали)","Київ","Enthusiasm Community","Full-Time","robota",NA,NA,"Non-IT",NA
"customer support agent","Київ","JatApp","Full-Time","robota",NA,NA,"Non-IT",NA
