"date","day","aircraft","helicopter","tank","APC","field.artillery","MRL","military.auto","fuel.tank","drone","naval.ship","anti.aircraft.warfare","special.equipment","mobile.SRBM.system","greatest.losses.direction","vehicles.and.fuel.tanks","cruise.missiles","submarines"
"2023-07-26",518,318,313,4172,8118,4727,700,NA,NA,4062,18,457,708,NA,"",7211,1307,NA
"2023-07-25",517,318,312,4169,8113,4705,700,NA,NA,4046,18,454,703,NA,"",7194,1307,NA
"2023-07-24",516,318,312,4157,8100,4675,699,NA,NA,4032,18,452,698,NA,"",7182,1307,NA
"2023-07-23",515,318,312,4146,8087,4658,699,NA,NA,4027,18,451,696,NA,"",7172,1298,NA
"2023-07-22",514,318,312,4135,8078,4629,695,NA,NA,4013,18,448,691,NA,"",7159,1298,NA
"2023-07-21",513,318,312,4128,8062,4610,694,NA,NA,4002,18,440,686,NA,"",7145,1298,NA
"2023-07-20",512,318,312,4124,8047,4592,694,NA,NA,3987,18,433,685,NA,"",7134,1293,NA
"2023-07-19",511,318,312,4118,8041,4573,691,NA,NA,3954,18,430,683,NA,"",7105,1279,NA
"2023-07-18",510,318,312,4114,8033,4542,691,NA,NA,3908,18,428,677,NA,"",7086,1273,NA
"2023-07-17",509,318,312,4110,8016,4504,687,NA,NA,3897,18,428,677,NA,"",7059,1273,NA
"2023-07-16",508,318,312,4102,8008,4481,683,NA,NA,3889,18,425,666,NA,"",7044,1273,NA
"2023-07-15",507,318,312,4097,8001,4463,682,NA,NA,3876,18,425,664,NA,"",7036,1273,NA
"2023-07-14",506,318,312,4092,7990,4449,682,NA,NA,3852,18,423,662,NA,"",7019,1273,NA
"2023-07-13",505,318,312,4087,7981,4425,680,NA,NA,3821,18,421,652,NA,"",6995,1271,NA
"2023-07-12",504,318,312,4085,7972,4402,676,NA,NA,3795,18,415,647,NA,"",6978,1271,NA
"2023-07-11",503,318,312,4084,7965,4385,674,NA,NA,3762,18,414,640,NA,"",6966,1271,NA
"2023-07-10",502,318,311,4080,7948,4371,670,NA,NA,3755,18,414,632,NA,"",6937,1271,NA
"2023-07-09",501,318,311,4073,7946,4366,670,NA,NA,3754,18,413,628,NA,"",6929,1271,NA
"2023-07-08",500,318,311,4069,7935,4346,663,NA,NA,3735,18,410,619,NA,"",6914,1271,NA
"2023-07-07",499,318,311,4065,7926,4330,660,NA,NA,3721,18,408,612,NA,"",6898,1271,NA
"2023-07-06",498,318,311,4063,7914,4310,659,NA,NA,3704,18,404,605,NA,"",6888,1264,NA
"2023-07-05",497,318,311,4057,7899,4288,658,NA,NA,3683,18,395,598,NA,"",6865,1264,NA
"2023-07-04",496,318,311,4054,7890,4252,649,NA,NA,3671,18,394,590,NA,"",6843,1264,NA
"2023-07-03",495,318,311,4052,7881,4220,643,NA,NA,3642,18,391,590,NA,"",6834,1264,NA
"2023-07-02",494,318,310,4047,7870,4188,639,NA,NA,3626,18,390,583,NA,"",6816,1261,NA
"2023-07-01",493,318,310,4037,7850,4162,634,NA,NA,3614,18,389,580,NA,"",6794,1261,NA
"2023-06-30",492,318,310,4036,7845,4127,632,NA,NA,3588,18,389,569,NA,"",6785,1261,NA
"2023-06-29",491,318,310,4033,7839,4116,629,NA,NA,3582,18,388,569,NA,"",6780,1261,NA
"2023-06-28",490,317,310,4031,7829,4089,629,NA,NA,3568,18,387,563,NA,"",6774,1261,NA
"2023-06-27",489,317,310,4031,7816,4083,628,NA,NA,3561,18,386,563,NA,"",6772,1261,NA
"2023-06-26",488,317,310,4026,7802,4055,626,NA,NA,3551,18,385,557,NA,"",6751,1259,NA
"2023-06-25",487,317,310,4025,7788,4034,626,NA,NA,3541,18,385,552,NA,"",6735,1259,NA
"2023-06-24",486,317,310,4019,7786,4015,621,NA,NA,3529,18,383,548,NA,"",6731,1228,NA
"2023-06-23",485,317,309,4012,7780,3985,619,NA,NA,3516,18,379,545,NA,"",6708,1214,NA
"2023-06-22",484,317,309,4008,7765,3941,619,NA,NA,3507,18,376,539,NA,"",6678,1214,NA
"2023-06-21",483,317,308,4001,7753,3920,617,NA,NA,3497,18,375,539,NA,"",6667,1214,NA
"2023-06-20",482,317,308,3992,7732,3888,616,NA,NA,3462,18,372,531,NA,"",6645,1214,NA
"2023-06-19",481,317,307,3984,7717,3865,612,NA,NA,3452,18,370,526,NA,"",6613,1211,NA
"2023-06-18",480,317,306,3979,7711,3847,612,NA,NA,3440,18,364,522,NA,"",6571,1211,NA
"2023-06-17",479,317,304,3972,7688,3834,611,NA,NA,3433,18,364,520,NA,"",6557,1211,NA
"2023-06-16",478,317,303,3960,7665,3812,608,NA,NA,3426,18,364,519,NA,"",6519,1199,NA
"2023-06-15",477,317,303,3950,7649,3793,606,NA,NA,3402,18,364,519,NA,"",6506,1199,NA
"2023-06-14",476,317,302,3938,7635,3783,605,NA,NA,3393,18,364,516,NA,"",6482,1196,NA
"2023-06-13",475,317,302,3930,7624,3766,603,NA,NA,3378,18,363,511,NA,"",6473,1183,NA
"2023-06-12",474,317,301,3926,7618,3746,603,NA,NA,3376,18,362,510,NA,"",6471,1183,NA
"2023-06-11",473,317,301,3921,7613,3736,603,NA,NA,3369,18,362,509,NA,"",6461,1183,NA
"2023-06-10",472,317,301,3904,7589,3717,602,NA,NA,3332,18,362,507,NA,"",6428,1176,NA
"2023-06-09",471,317,301,3896,7582,3702,601,NA,NA,3316,18,359,502,NA,"",6410,1171,NA
"2023-06-08",470,317,301,3886,7558,3668,597,NA,NA,3303,18,355,500,NA,"",6384,1171,NA
"2023-06-07",469,317,301,3868,7542,3640,596,NA,NA,3288,18,352,492,NA,"",6349,1171,NA
"2023-06-06",468,316,301,3855,7525,3603,592,NA,NA,3281,18,351,489,NA,"",6332,1171,NA
"2023-06-05",467,316,300,3843,7505,3567,586,NA,NA,3258,18,349,484,NA,"",6312,1136,NA
"2023-06-04",466,316,300,3832,7494,3555,585,NA,NA,3244,18,344,479,NA,"",6305,1132,NA
"2023-06-03",465,316,300,3824,7484,3533,584,NA,NA,3234,18,342,475,NA,"",6289,1132,NA
"2023-06-02",464,316,300,3814,7472,3501,577,NA,NA,3206,18,335,465,NA,"",6267,1117,NA
"2023-06-01",463,316,300,3799,7460,3474,577,NA,NA,3200,18,333,458,NA,"",6239,1107,NA
"2023-05-31",462,316,300,3797,7454,3460,577,NA,NA,3193,18,333,454,NA,"",6230,1107,NA
"2023-05-30",461,316,300,3797,7451,3445,577,NA,NA,3161,18,332,454,NA,"",6219,1107,NA
"2023-05-29",460,316,300,3796,7449,3435,577,NA,NA,3123,18,331,453,NA,"",6207,1056,NA
"2023-05-28",459,316,300,3792,7438,3425,576,NA,NA,3062,18,329,451,NA,"",6192,1056,NA
"2023-05-27",458,313,298,3794,7424,3406,574,NA,NA,3010,18,329,449,NA,"",6172,1025,NA
"2023-05-26",457,310,296,3796,7410,3384,570,NA,NA,2930,18,328,446,NA,"",6161,1015,NA
"2023-05-25",456,309,296,3795,7407,3359,570,NA,NA,2927,18,327,444,NA,"",6148,1015,NA
"2023-05-24",455,309,296,3792,7399,3339,570,NA,NA,2891,18,327,440,NA,"",6146,1015,NA
"2023-05-23",454,309,295,3789,7394,3318,565,NA,NA,2884,18,327,433,NA,"",6139,1015,NA
"2023-05-22",453,309,294,3785,7382,3278,565,NA,NA,2850,18,327,427,NA,"",6129,1011,NA
"2023-05-21",452,308,294,3783,7373,3258,564,NA,NA,2842,18,327,425,NA,"",6115,1011,NA
"2023-05-20",451,308,294,3781,7357,3229,564,NA,NA,2821,18,325,423,NA,"",6103,1011,NA
"2023-05-19",450,308,294,3777,7352,3210,564,NA,NA,2789,18,319,419,NA,"",6083,1011,NA
"2023-05-18",449,308,294,3773,7348,3198,563,NA,NA,2779,18,318,418,NA,"",6073,990,NA
"2023-05-17",448,308,294,3771,7340,3166,562,NA,NA,2768,18,318,417,NA,"",6067,982,NA
"2023-05-16",447,308,294,3762,7323,3150,562,NA,NA,2752,18,316,410,NA,"",6048,973,NA
"2023-05-15",446,308,294,3759,7311,3137,562,NA,NA,2740,18,316,407,NA,"",6034,973,NA
"2023-05-14",445,308,294,3756,7300,3116,562,NA,NA,2716,18,314,404,NA,"",6018,970,NA
"2023-05-13",444,308,294,3751,7282,3095,561,NA,NA,2685,18,314,402,NA,"",6011,970,NA
"2023-05-12",443,308,294,3745,7270,3068,559,NA,NA,2656,18,312,393,NA,"",5996,970,NA
"2023-05-11",442,308,294,3740,7262,3053,557,NA,NA,2647,18,310,391,NA,"",5984,970,NA
"2023-05-10",441,308,294,3736,7250,3039,555,NA,NA,2644,18,308,389,NA,"",5974,970,NA
"2023-05-09",440,308,294,3734,7232,3031,554,NA,NA,2638,18,307,388,NA,"",5969,955,NA
"2023-05-08",439,308,294,3730,7228,3018,554,NA,NA,2634,18,306,384,NA,"",5958,947,NA
"2023-05-07",438,308,294,3723,7223,3010,554,NA,NA,2592,18,306,380,NA,"",5952,947,NA
"2023-05-06",437,308,294,3717,7213,2992,552,NA,NA,2574,18,306,375,NA,"",5936,947,NA
"2023-05-05",436,308,294,3710,7199,2978,550,NA,NA,2560,18,304,373,NA,"",5916,947,NA
"2023-05-04",435,308,294,3707,7191,2962,547,NA,NA,2543,18,304,370,NA,"",5886,947,NA
"2023-05-03",434,308,294,3702,7174,2946,544,NA,NA,2525,18,300,363,NA,"",5865,947,NA
"2023-05-02",433,308,294,3701,7168,2930,544,NA,NA,2497,18,298,360,NA,"",5851,947,NA
"2023-05-01",432,308,294,3700,7167,2921,544,NA,NA,2496,18,295,359,NA,"",5845,932,NA
"2023-04-30",431,308,294,3699,7164,2914,544,NA,NA,2495,18,295,357,NA,"",5842,932,NA
"2023-04-29",430,308,294,3697,7159,2908,543,NA,NA,2491,18,294,355,NA,"",5836,932,NA
"2023-04-28",429,308,294,3694,7156,2905,543,NA,NA,2487,18,294,353,NA,"",5819,911,NA
"2023-04-27",428,308,294,3694,7153,2887,542,NA,NA,2481,18,293,352,NA,"",5805,911,NA
"2023-04-26",427,308,294,3692,7137,2877,539,NA,NA,2460,18,292,352,NA,"",5792,911,NA
"2023-04-25",426,308,294,3688,7126,2863,539,NA,NA,2457,18,291,345,NA,"",5784,911,NA
"2023-04-24",425,308,294,3683,7114,2849,539,NA,NA,2433,18,289,339,NA,"",5753,911,NA
"2023-04-23",424,308,294,3675,7106,2837,539,NA,NA,2422,18,289,339,NA,"",5730,911,NA
"2023-04-22",423,308,293,3672,7105,2832,539,NA,NA,2418,18,289,337,NA,"",5718,911,NA
"2023-04-21",422,308,293,3668,7101,2827,539,NA,NA,2414,18,285,334,NA,"",5713,911,NA
"2023-04-20",421,308,293,3667,7095,2825,539,NA,NA,2406,18,285,332,NA,"",5707,911,NA
"2023-04-19",420,308,293,3665,7085,2819,538,NA,NA,2396,18,285,330,NA,"",5692,911,NA
"2023-04-18",419,308,293,3661,7073,2810,538,NA,NA,2373,18,285,330,NA,"",5676,911,NA
"2023-04-17",418,308,293,3660,7062,2804,538,NA,NA,2367,18,285,328,NA,"",5672,911,NA
"2023-04-16",417,308,293,3657,7058,2795,538,NA,NA,2359,18,284,326,NA,"",5658,911,NA
"2023-04-15",416,307,293,3653,7048,2785,535,NA,NA,2359,18,283,324,NA,"",5646,911,NA
"2023-04-14",415,307,293,3650,7044,2784,535,NA,NA,2359,18,283,321,NA,"",5640,911,NA
"2023-04-13",414,307,293,3646,7028,2777,535,NA,NA,2359,18,283,320,NA,"",5637,911,NA
"2023-04-12",413,307,293,3646,7018,2770,535,NA,NA,2354,18,282,319,NA,"",5630,911,NA
"2023-04-11",412,307,293,3644,7013,2765,535,NA,NA,2352,18,282,316,NA,"",5620,911,NA
"2023-04-10",411,307,292,3637,7003,2750,534,NA,NA,2343,18,282,311,NA,"",5607,911,NA
"2023-04-09",410,307,292,3636,6999,2740,533,NA,NA,2332,18,282,309,NA,"",5602,911,NA
"2023-04-08",409,307,292,3636,6995,2727,533,NA,NA,2318,18,282,304,NA,"",5599,911,NA
"2023-04-07",408,306,292,3633,6991,2722,533,NA,NA,2311,18,281,304,NA,"",5587,911,NA
"2023-04-06",407,306,292,3631,6988,2714,532,NA,NA,2307,18,281,302,NA,"",5574,911,NA
"2023-04-05",406,306,291,3629,6980,2707,532,NA,NA,2303,18,280,299,NA,"",5573,911,NA
"2023-04-04",405,306,291,3627,6974,2697,528,NA,NA,2297,18,280,298,NA,"",5562,911,NA
"2023-04-03",404,306,291,3619,6968,2694,527,NA,NA,2282,18,280,298,NA,"",5553,911,NA
"2023-04-02",403,306,291,3618,6961,2687,527,NA,NA,2269,18,279,296,NA,"",5537,911,NA
"2023-04-01",402,306,291,3616,6956,2683,527,NA,NA,2268,18,279,296,NA,"",5528,911,NA
"2023-03-31",401,306,291,3615,6952,2675,526,NA,NA,2268,18,278,294,NA,"",5521,911,NA
"2023-03-30",400,306,291,3610,6949,2671,526,NA,NA,2259,18,278,291,NA,"",5518,911,NA
"2023-03-29",399,306,291,3609,6941,2659,526,NA,NA,2259,18,277,288,NA,"",5507,911,NA
"2023-03-28",398,305,291,3602,6941,2653,525,NA,NA,2255,18,277,287,NA,"",5502,911,NA
"2023-03-27",397,305,291,3595,6928,2638,523,NA,NA,2236,18,277,285,NA,"",5493,911,NA
"2023-03-26",396,305,291,3595,6922,2631,522,NA,NA,2236,18,277,282,NA,"",5486,911,NA
"2023-03-25",395,305,291,3580,6907,2623,520,NA,NA,2234,18,276,279,NA,"",5483,911,NA
"2023-03-24",394,305,290,3574,6896,2616,511,NA,NA,2228,18,276,277,NA,"",5464,911,NA
"2023-03-23",393,305,290,3570,6873,2608,511,NA,NA,2223,18,273,273,NA,"",5452,909,NA
"2023-03-22",392,305,290,3557,6862,2589,509,NA,NA,2203,18,272,270,NA,"",5434,909,NA
"2023-03-21",391,305,290,3552,6854,2586,507,NA,NA,2187,18,270,266,NA,"",5428,907,NA
"2023-03-20",390,305,290,3537,6844,2577,507,NA,NA,2180,18,270,265,NA,"",5416,907,NA
"2023-03-19",389,305,290,3532,6828,2568,507,NA,NA,2179,18,268,262,NA,"",5408,907,NA
"2023-03-18",388,305,290,3511,6805,2560,506,NA,NA,2179,18,265,259,NA,"",5404,907,NA
"2023-03-17",387,305,290,3506,6798,2552,504,NA,NA,2165,18,265,258,NA,"",5401,907,NA
"2023-03-16",386,305,289,3504,6785,2539,503,NA,NA,2165,18,265,257,NA,"",5394,907,NA
"2023-03-15",385,304,289,3492,6774,2528,502,NA,NA,2152,18,262,257,NA,"",5377,907,NA
"2023-03-14",384,304,289,3484,6764,2519,495,NA,NA,2140,18,260,256,NA,"",5367,907,NA
"2023-03-13",383,304,289,3474,6749,2503,493,NA,NA,2129,18,259,251,NA,"",5354,907,NA
"2023-03-12",382,304,289,3466,6744,2487,493,NA,NA,2128,18,259,242,NA,"",5348,907,NA
"2023-03-11",381,304,289,3458,6737,2483,493,NA,NA,2128,18,257,242,NA,"",5344,907,NA
"2023-03-10",380,304,289,3448,6717,2475,491,NA,NA,2127,18,256,240,NA,"",5337,907,NA
"2023-03-09",379,303,289,3441,6711,2465,488,NA,NA,2118,18,254,237,NA,"",5331,873,NA
"2023-03-08",378,303,289,3436,6698,2463,488,NA,NA,2118,18,253,236,NA,"",5330,873,NA
"2023-03-07",377,303,289,3432,6689,2456,488,NA,NA,2115,18,253,236,NA,"",5323,873,NA
"2023-03-06",376,302,289,3423,6678,2433,488,NA,NA,2106,18,250,234,NA,"",5307,873,NA
"2023-03-05",375,302,289,3414,6667,2426,488,NA,NA,2091,18,248,232,NA,"",5299,873,NA
"2023-03-04",374,302,289,3409,6658,2414,487,NA,NA,2086,18,247,230,NA,"",5289,873,NA
"2023-03-03",373,301,289,3405,6648,2402,484,NA,NA,2081,18,247,230,NA,"",5281,873,NA
"2023-03-02",372,300,288,3397,6633,2398,480,NA,NA,2078,18,247,230,NA,"",5264,873,NA
"2023-03-01",371,300,288,3395,6613,2393,479,NA,NA,2075,18,247,230,NA,"",5257,873,NA
"2023-02-28",370,300,288,3388,6605,2383,478,NA,NA,2071,18,247,230,NA,"",5252,873,NA
"2023-02-27",369,300,288,3385,6596,2380,475,NA,NA,2068,18,247,230,NA,"",5248,873,NA
"2023-02-26",368,299,288,3381,6590,2380,475,NA,NA,2057,18,247,230,NA,"",5242,873,NA
"2023-02-25",367,299,288,3375,6584,2373,475,NA,NA,2055,18,247,230,NA,"",5235,873,NA
"2023-02-24",366,299,287,3363,6575,2363,474,NA,NA,2053,18,247,229,NA,"",5224,873,NA
"2023-02-23",365,299,287,3350,6568,2352,471,NA,NA,2049,18,244,228,NA,"",5215,873,NA
"2023-02-22",364,299,287,3334,6544,2345,471,NA,NA,2046,18,243,226,NA,"",5212,873,NA
"2023-02-21",363,299,287,3326,6537,2338,471,NA,NA,2043,18,243,226,NA,"",5210,873,NA
"2023-02-20",362,299,287,3316,6528,2334,471,NA,NA,2038,18,243,225,NA,"",5209,873,NA
"2023-02-19",361,298,287,3310,6520,2327,469,NA,NA,2036,18,243,224,NA,"",5196,873,NA
"2023-02-18",360,298,287,3303,6508,2326,469,NA,NA,2036,18,243,223,NA,"",5196,871,NA
"2023-02-17",359,298,287,3298,6495,2322,467,NA,NA,2033,18,241,221,NA,"",5187,871,NA
"2023-02-16",358,298,287,3296,6492,2306,466,NA,NA,2032,18,239,219,NA,"",5167,857,NA
"2023-02-15",357,298,286,3290,6482,2303,466,NA,NA,2031,18,236,219,NA,"",5161,857,NA
"2023-02-14",356,298,286,3286,6475,2299,466,NA,NA,2031,18,234,218,NA,"",5155,857,NA
"2023-02-13",355,296,286,3283,6467,2290,465,NA,NA,2027,18,234,217,NA,"",5150,857,NA
"2023-02-12",354,296,286,3280,6463,2287,465,NA,NA,2027,18,234,215,NA,"",5148,857,NA
"2023-02-11",353,295,286,3267,6449,2270,463,NA,NA,2017,18,234,214,NA,"",5134,857,NA
"2023-02-10",352,295,286,3258,6446,2251,463,NA,NA,1990,18,233,211,NA,"",5126,796,NA
"2023-02-09",351,295,285,3255,6443,2244,463,NA,NA,1987,18,232,211,NA,"",5121,796,NA
"2023-02-08",350,295,285,3253,6433,2236,461,NA,NA,1981,18,228,211,NA,"",5112,796,NA
"2023-02-07",349,294,284,3245,6418,2232,461,NA,NA,1978,18,227,208,NA,"",5107,796,NA
"2023-02-06",348,294,284,3231,6390,2231,461,NA,NA,1978,18,227,203,NA,"",5104,796,NA
"2023-02-05",347,294,284,3220,6380,2226,460,NA,NA,1978,18,227,203,NA,"",5091,796,NA
"2023-02-04",346,294,284,3218,6369,2220,460,NA,NA,1976,18,225,203,NA,"",5081,796,NA
"2023-02-03",345,294,284,3215,6363,2215,460,NA,NA,1972,18,222,202,NA,"",5068,796,NA
"2023-02-02",344,293,284,3211,6357,2212,458,NA,NA,1971,18,222,200,NA,"",5064,796,NA
"2023-02-01",343,293,284,3209,6357,2207,458,NA,NA,1971,18,221,200,NA,"",5061,796,NA
"2023-01-31",342,293,284,3201,6353,2197,454,NA,NA,1971,18,221,200,NA,"",5048,796,NA
"2023-01-30",341,293,284,3201,6344,2196,453,NA,NA,1967,18,221,199,NA,"",5041,796,NA
"2023-01-29",340,293,284,3197,6341,2195,453,NA,NA,1967,18,221,199,NA,"",5037,796,NA
"2023-01-28",339,293,284,3189,6319,2188,453,NA,NA,1967,18,221,199,NA,"",5027,796,NA
"2023-01-27",338,292,283,3182,6315,2180,452,NA,NA,1961,18,221,199,NA,"",5001,796,NA
"2023-01-26",337,292,282,3175,6309,2169,452,NA,NA,1928,18,220,195,NA,"",4986,749,NA
"2023-01-25",336,290,281,3161,6282,2154,450,NA,NA,1922,18,220,194,NA,"",4967,749,NA
"2023-01-24",335,289,281,3152,6259,2148,448,NA,NA,1917,18,220,194,NA,"",4944,749,NA
"2023-01-23",334,287,277,3150,6251,2146,447,NA,NA,1914,18,220,193,NA,"",4936,749,NA
"2023-01-22",333,287,277,3145,6243,2144,445,NA,NA,1912,17,220,193,NA,"",4932,749,NA
"2023-01-21",332,287,277,3140,6231,2135,443,NA,NA,1911,17,220,193,NA,"",4918,749,NA
"2023-01-20",331,287,277,3139,6216,2129,442,NA,NA,1906,17,220,190,NA,"",4903,749,NA
"2023-01-19",330,287,277,3136,6210,2122,442,NA,NA,1902,17,220,190,NA,"",4896,749,NA
"2023-01-18",329,287,276,3130,6190,2108,442,NA,NA,1896,17,220,190,NA,"",4889,749,NA
"2023-01-17",328,286,276,3121,6190,2104,441,NA,NA,1892,17,220,190,NA,"",4877,749,NA
"2023-01-16",327,286,276,3118,6179,2099,438,NA,NA,1892,17,220,190,NA,"",4870,749,NA
"2023-01-15",326,286,276,3106,6158,2094,437,NA,NA,1892,17,219,187,NA,"",4846,749,NA
"2023-01-14",325,286,276,3104,6148,2090,437,NA,NA,1887,17,219,186,NA,"",4846,723,NA
"2023-01-13",324,286,276,3098,6142,2086,437,NA,NA,1885,17,218,184,NA,"",4833,723,NA
"2023-01-12",323,285,276,3094,6134,2082,437,NA,NA,1885,17,218,184,NA,"",4826,723,NA
"2023-01-11",322,285,275,3094,6134,2078,437,NA,NA,1882,17,217,184,NA,"",4826,723,NA
"2023-01-10",321,285,275,3084,6129,2073,434,NA,NA,1880,17,217,183,NA,"",4817,723,NA
"2023-01-09",320,285,275,3080,6122,2069,434,NA,NA,1876,16,217,183,NA,"",4809,723,NA
"2023-01-08",319,285,272,3069,6105,2065,431,NA,NA,1869,16,217,183,NA,"",4801,723,NA
"2023-01-07",318,285,272,3066,6100,2062,431,NA,NA,1864,16,217,182,NA,"",4798,723,NA
"2023-01-06",317,285,272,3064,6099,2059,431,NA,NA,1864,16,215,182,NA,"",4797,723,NA
"2023-01-05",316,284,271,3041,6083,2051,426,NA,NA,1864,16,215,182,NA,"",4759,723,NA
"2023-01-04",315,283,270,3038,6081,2039,424,NA,NA,1862,16,215,181,NA,"",4745,723,NA
"2023-01-03",314,283,270,3036,6075,2033,424,NA,NA,1859,16,214,181,NA,"",4735,723,NA
"2023-01-02",313,283,269,3031,6068,2027,423,NA,NA,1856,16,213,181,NA,"Lyman, Bakhmut and Avdiivka",4725,723,NA
"2023-01-01",312,283,269,3031,6059,2021,423,NA,NA,1812,16,213,181,NA,"Lyman and Bakhmut",4720,723,NA
"2022-12-31",311,283,269,3029,6050,2016,423,NA,NA,1766,16,213,180,NA,"",4707,711,NA
"2022-12-30",310,283,268,3026,6034,2010,423,NA,NA,1760,16,212,180,NA,"Lyman and Bakhmut",4683,711,NA
"2022-12-29",309,283,268,3018,6022,2004,423,NA,NA,1737,16,212,179,NA,"Lyman and Bakhmut",4675,653,NA
"2022-12-28",308,283,267,3017,6012,1999,418,NA,NA,1727,16,212,179,NA,"",4660,653,NA
"2022-12-27",307,283,267,3016,5999,1998,418,NA,NA,1727,16,212,179,NA,"Bakhmut and Lyman",4652,653,NA
"2022-12-26",306,283,267,3016,5992,1996,418,NA,NA,1727,16,212,178,NA,"Kupiansk, Avdiivka and Bakhmut",4647,653,NA
"2022-12-25",305,283,267,3011,5985,1991,418,NA,NA,1726,16,212,178,NA,"",4635,653,NA
"2022-12-24",304,283,267,3006,5969,1988,418,NA,NA,1726,16,212,178,NA,"Kupiansk, Avdiivka and Bakhmut",4627,653,NA
"2022-12-23",303,283,267,3005,5961,1984,414,NA,NA,1718,16,212,178,NA,"",4622,653,NA
"2022-12-22",302,283,267,3002,5956,1978,413,NA,NA,1713,16,212,178,NA,"",4615,653,NA
"2022-12-21",301,282,267,3002,5954,1972,412,NA,NA,1708,16,212,178,NA,"",4608,653,NA
"2022-12-20",300,281,266,2995,5949,1960,410,NA,NA,1700,16,212,177,NA,"",4599,653,NA
"2022-12-19",299,281,264,2988,5944,1953,410,NA,NA,1677,16,212,175,NA,"",4592,653,NA
"2022-12-18",298,281,264,2987,5938,1948,410,NA,NA,1669,16,211,174,NA,"Lyman and Bakhmut",4579,653,NA
"2022-12-17",297,281,264,2985,5933,1947,410,NA,NA,1668,16,211,174,NA,"",4577,653,NA
"2022-12-16",296,281,264,2980,5927,1946,410,NA,NA,1668,16,211,172,NA,"",4563,592,NA
"2022-12-15",295,281,264,2975,5921,1943,406,NA,NA,1664,16,211,172,NA,"",4563,592,NA
"2022-12-14",294,281,264,2970,5912,1931,404,NA,NA,1637,16,211,171,NA,"",4562,592,NA
"2022-12-13",293,281,264,2966,5905,1931,404,NA,NA,1637,16,211,170,NA,"",4549,592,NA
"2022-12-12",292,281,264,2966,5903,1929,397,NA,NA,1637,16,211,169,NA,"",4544,592,NA
"2022-12-11",291,281,264,2942,5895,1928,397,NA,NA,1633,16,211,167,NA,"",4540,592,NA
"2022-12-10",290,281,264,2940,5892,1927,397,NA,NA,1623,16,211,167,NA,"Bakhmut and Lyman",4535,592,NA
"2022-12-09",289,281,264,2937,5887,1926,395,NA,NA,1623,16,211,164,NA,"",4531,592,NA
"2022-12-08",288,281,264,2937,5886,1925,395,NA,NA,1623,16,211,164,NA,"",4528,592,NA
"2022-12-07",287,281,264,2935,5884,1923,395,NA,NA,1621,16,211,163,NA,"",4526,592,NA
"2022-12-06",286,281,264,2929,5880,1915,395,NA,NA,1607,16,211,163,NA,"",4505,592,NA
"2022-12-05",285,281,264,2924,5875,1914,395,NA,NA,1602,16,211,163,NA,"Bakhmut and Lyman",4497,531,NA
"2022-12-04",284,281,263,2922,5867,1908,395,NA,NA,1593,16,210,163,NA,"Bakhmut and Lyman",4479,531,NA
"2022-12-03",283,280,263,2917,5861,1906,395,NA,NA,1592,16,210,163,NA,"",4472,531,NA
"2022-12-02",282,280,262,2916,5858,1905,395,NA,NA,1584,16,210,163,NA,"Bakhmut and Avdiivka",4464,531,NA
"2022-12-01",281,280,261,2915,5852,1904,395,NA,NA,1582,16,210,163,NA,"",4441,531,NA
"2022-11-30",280,280,261,2914,5847,1902,395,NA,NA,1582,16,210,163,NA,"",4429,531,NA
"2022-11-29",279,280,261,2911,5841,1901,395,NA,NA,1575,16,209,163,NA,"",4423,531,NA
"2022-11-28",278,278,261,2908,5836,1899,395,NA,NA,1575,16,209,163,NA,"",4416,531,NA
"2022-11-27",277,278,261,2905,5831,1897,395,NA,NA,1575,16,209,163,NA,"Bakhmut, Lyman and Avdiivka",4412,531,NA
"2022-11-26",276,278,261,2901,5823,1896,395,NA,NA,1574,16,209,163,NA,"",4406,531,NA
"2022-11-25",275,278,261,2899,5819,1895,395,NA,NA,1573,16,209,163,NA,"Bakhmut and Lyman",4404,531,NA
"2022-11-24",274,278,261,2898,5812,1889,395,NA,NA,1567,16,209,161,NA,"Avdiivka, Bakhmut and Lyman",4400,531,NA
"2022-11-23",273,278,261,2897,5807,1887,395,NA,NA,1557,16,209,161,NA,"Avdiivka, Bakhmut and Lyman",4396,480,NA
"2022-11-22",272,278,261,2895,5802,1882,395,NA,NA,1557,16,209,161,NA,"Bakhmut and Lyman",4393,480,NA
"2022-11-21",271,278,261,2892,5797,1870,393,NA,NA,1557,16,209,161,NA,"",4378,480,NA
"2022-11-20",270,278,261,2886,5792,1868,393,NA,NA,1557,16,209,161,NA,"",4371,480,NA
"2022-11-19",269,278,261,2885,5790,1867,393,NA,NA,1556,16,209,161,NA,"",4368,480,NA
"2022-11-18",268,278,261,2879,5783,1865,393,NA,NA,1556,16,209,161,NA,"Lyman and Avdiivka",4366,480,NA
"2022-11-17",267,278,261,2878,5779,1860,393,NA,NA,1551,16,209,160,NA,"",4362,474,NA
"2022-11-16",266,278,261,2871,5772,1860,393,NA,NA,1545,16,209,160,NA,"Lyman, Avdiivka and Bakhmut",4360,474,NA
"2022-11-15",265,278,261,2861,5748,1850,393,NA,NA,1531,16,208,160,NA,"",4351,399,NA
"2022-11-14",264,278,261,2848,5723,1839,393,NA,NA,1529,16,206,160,NA,"",4316,399,NA
